Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.658% APR
Monthly Payment = $1319.73
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                150,000.00
   1           832.25              487.48           149,512.52          128.75
   2           829.55              490.18           149,022.34          128.75
   3           826.83              492.90           148,529.44          128.75
   4           824.09              495.64           148,033.80          128.75
   5           821.34              498.39           147,535.41          128.75
   6           818.58              501.15           147,034.26          128.75
   7           815.80              503.93           146,530.33          128.75
   8           813.00              506.73           146,023.60          128.75
   9           810.19              509.54           145,514.06          128.75
  10           807.36              512.37           145,001.69          128.75
  11           804.52              515.21           144,486.48          128.75
  12           801.66              518.07           143,968.41          128.75
  13           798.78              520.95           143,447.46          128.75
  14           795.89              523.84           142,923.62          128.75
  15           792.99              526.74           142,396.88          128.75
  16           790.07              529.66           141,867.22          128.75
  17           787.13              532.60           141,334.62          128.75
  18           784.17              535.56           140,799.06          128.75
  19           781.20              538.53           140,260.53          128.75
  20           778.21              541.52           139,719.01          128.75
  21           775.21              544.52           139,174.49          128.75
  22           772.19              547.54           138,626.95          128.75
  23           769.15              550.58           138,076.37          128.75
  24           766.09              553.64           137,522.73          128.75
  25           763.02              556.71           136,966.02          128.75
  26           759.93              559.80           136,406.22          128.75
  27           756.83              562.90           135,843.32          128.75
  28           753.70              566.03           135,277.29          128.75
  29           750.56              569.17           134,708.12          128.75
  30           747.41              572.32           134,135.80          128.75
  31           744.23              575.50           133,560.30          128.75
  32           741.04              578.69           132,981.61          128.75
  33           737.83              581.90           132,399.71          128.75
  34           734.60              585.13           131,814.58          128.75
  35           731.35              588.38           131,226.20          128.75
  36           728.09              591.64           130,634.56          128.75
  37           724.80              594.93           130,039.63          128.75
  38           721.50              598.23           129,441.40          128.75
  39           718.18              601.55           128,839.85          128.75
  40           714.85              604.88           128,234.97          128.75
  41           711.49              608.24           127,626.73          128.75
  42           708.12              611.61           127,015.12          128.75
  43           704.72              615.01           126,400.11          128.75
  44           701.31              618.42           125,781.69          128.75
  45           697.88              621.85           125,159.84          128.75
  46           694.43              625.30           124,534.54          128.75
  47           690.96              628.77           123,905.77          128.75
  48           687.47              632.26           123,273.51          128.75
  49           683.96              635.77           122,637.74          128.75
  50           680.44              639.29           121,998.45          128.75
  51           676.89              642.84           121,355.61          128.75
  52           673.32              646.41           120,709.20          128.75
  53           669.73              650.00           120,059.20          128.75
  54           666.13              653.60           119,405.60          128.75
  55           662.50              657.23           118,748.37            0.00
  56           658.86              660.87           118,087.50            0.00
  57           655.19              664.54           117,422.96            0.00
  58           651.50              668.23           116,754.73            0.00
  59           647.79              671.94           116,082.79            0.00
  60           644.07              675.66           115,407.13            0.00
  61           640.32              679.41           114,727.72            0.00
  62           636.55              683.18           114,044.54            0.00
  63           632.76              686.97           113,357.57            0.00
  64           628.95              690.78           112,666.79            0.00
  65           625.11              694.62           111,972.17            0.00
  66           621.26              698.47           111,273.70            0.00
  67           617.38              702.35           110,571.35            0.00
