Enter the purchase price of your home: $285900.00
Enter the term of the loan in years: 30
Enter your down payment percentage: 10.0

Loan amount: $257,310.00
Loan type: 30-Year Fixed, 90% or less LTV at 6.886% APR
Monthly Payment = $1692.24
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                257,310.00
   1         1,476.53              215.71           257,094.29          144.74
   2         1,475.29              216.95           256,877.34          144.74
   3         1,474.05              218.19           256,659.15          144.74
   4         1,472.80              219.44           256,439.71          144.74
   5         1,471.54              220.70           256,219.01          144.74
   6         1,470.27              221.97           255,997.04          144.74
   7         1,469.00              223.24           255,773.80          144.74
   8         1,467.72              224.52           255,549.28          144.74
   9         1,466.43              225.81           255,323.47          144.74
  10         1,465.13              227.11           255,096.36          144.74
  11         1,463.83              228.41           254,867.95          144.74
  12         1,462.52              229.72           254,638.23          144.74
  13         1,461.20              231.04           254,407.19          144.74
  14         1,459.87              232.37           254,174.82          144.74
  15         1,458.54              233.70           253,941.12          144.74
  16         1,457.20              235.04           253,706.08          144.74
  17         1,455.85              236.39           253,469.69          144.74
  18         1,454.49              237.75           253,231.94          144.74
  19         1,453.13              239.11           252,992.83          144.74
  20         1,451.76              240.48           252,752.35          144.74
  21         1,450.38              241.86           252,510.49          144.74
  22         1,448.99              243.25           252,267.24          144.74
  23         1,447.59              244.65           252,022.59          144.74
  24         1,446.19              246.05           251,776.54          144.74
  25         1,444.78              247.46           251,529.08          144.74
  26         1,443.36              248.88           251,280.20          144.74
  27         1,441.93              250.31           251,029.89          144.74
  28         1,440.49              251.75           250,778.14          144.74
  29         1,439.05              253.19           250,524.95          144.74
  30         1,437.60              254.64           250,270.31          144.74
  31         1,436.13              256.11           250,014.20          144.74
  32         1,434.66              257.58           249,756.62          144.74
  33         1,433.19              259.05           249,497.57          144.74
  34         1,431.70              260.54           249,237.03          144.74
  35         1,430.21              262.03           248,975.00          144.74
  36         1,428.70              263.54           248,711.46          144.74
  37         1,427.19              265.05           248,446.41          144.74
  38         1,425.67              266.57           248,179.84          144.74
  39         1,424.14              268.10           247,911.74          144.74
  40         1,422.60              269.64           247,642.10          144.74
  41         1,421.05              271.19           247,370.91          144.74
  42         1,419.50              272.74           247,098.17          144.74
  43         1,417.93              274.31           246,823.86          144.74
  44         1,416.36              275.88           246,547.98          144.74
  45         1,414.77              277.47           246,270.51          144.74
  46         1,413.18              279.06           245,991.45          144.74
  47         1,411.58              280.66           245,710.79          144.74
  48         1,409.97              282.27           245,428.52          144.74
  49         1,408.35              283.89           245,144.63          144.74
  50         1,406.72              285.52           244,859.11          144.74
  51         1,405.08              287.16           244,571.95          144.74
  52         1,403.44              288.80           244,283.15          144.74
  53         1,401.78              290.46           243,992.69          144.74
  54         1,400.11              292.13           243,700.56          144.74
  55         1,398.44              293.80           243,406.76          144.74
  56         1,396.75              295.49           243,111.27          144.74
  57         1,395.05              297.19           242,814.08          144.74
  58         1,393.35              298.89           242,515.19          144.74
  59         1,391.63              300.61           242,214.58          144.74
