Enter the purchase price of your home: $899900.00
Enter the term of the loan in years: 8
Enter a valid term: 30
Enter your down payment percentage: -10.0
Enter a valid down payment percentage: 10.0

Loan amount: $809,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 6.886% APR
Monthly Payment = $5326.49
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                809,910.00
   1         4,647.53              678.96           809,231.04          455.57
   2         4,643.64              682.85           808,548.19          455.57
   3         4,639.72              686.77           807,861.42          455.57
   4         4,635.78              690.71           807,170.71          455.57
   5         4,631.81              694.68           806,476.03          455.57
   6         4,627.83              698.66           805,777.37          455.57
   7         4,623.82              702.67           805,074.70          455.57
   8         4,619.79              706.70           804,368.00          455.57
   9         4,615.73              710.76           803,657.24          455.57
  10         4,611.65              714.84           802,942.40          455.57
  11         4,607.55              718.94           802,223.46          455.57
  12         4,603.43              723.06           801,500.40          455.57
  13         4,599.28              727.21           800,773.19          455.57
  14         4,595.10              731.39           800,041.80          455.57
  15         4,590.91              735.58           799,306.22          455.57
  16         4,586.69              739.80           798,566.42          455.57
  17         4,582.44              744.05           797,822.37          455.57
  18         4,578.17              748.32           797,074.05          455.57
  19         4,573.88              752.61           796,321.44          455.57
  20         4,569.56              756.93           795,564.51          455.57
  21         4,565.21              761.28           794,803.23          455.57
  22         4,560.85              765.64           794,037.59          455.57
  23         4,556.45              770.04           793,267.55          455.57
  24         4,552.03              774.46           792,493.09          455.57
  25         4,547.59              778.90           791,714.19          455.57
  26         4,543.12              783.37           790,930.82          455.57
  27         4,538.62              787.87           790,142.95          455.57
  28         4,534.10              792.39           789,350.56          455.57
  29         4,529.56              796.93           788,553.63          455.57
  30         4,524.98              801.51           787,752.12          455.57
  31         4,520.38              806.11           786,946.01          455.57
  32         4,515.76              810.73           786,135.28          455.57
  33         4,511.11              815.38           785,319.90          455.57
  34         4,506.43              820.06           784,499.84          455.57
  35         4,501.72              824.77           783,675.07          455.57
  36         4,496.99              829.50           782,845.57          455.57
  37         4,492.23              834.26           782,011.31          455.57
  38         4,487.44              839.05           781,172.26          455.57
  39         4,482.63              843.86           780,328.40          455.57
  40         4,477.78              848.71           779,479.69          455.57
  41         4,472.91              853.58           778,626.11          455.57
  42         4,468.02              858.47           777,767.64          455.57
  43         4,463.09              863.40           776,904.24          455.57
  44         4,458.14              868.35           776,035.89          455.57
  45         4,453.15              873.34           775,162.55          455.57
  46         4,448.14              878.35           774,284.20          455.57
  47         4,443.10              883.39           773,400.81          455.57
  48         4,438.03              888.46           772,512.35          455.57
  49         4,432.93              893.56           771,618.79          455.57
  50         4,427.81              898.68           770,720.11          455.57
  51         4,422.65              903.84           769,816.27          455.57
  52         4,417.46              909.03           768,907.24          455.57
  53         4,412.25              914.24           767,993.00          455.57
  54         4,407.00              919.49           767,073.51          455.57
  55         4,401.72              924.77           766,148.74          455.57
  56         4,396.42              930.07           765,218.67          455.57
  57         4,391.08              935.41           764,283.26          455.57
  58         4,385.71              940.78           763,342.48          455.57
  59         4,380.31              946.18           762,396.30          455.57
  60         4,374.88              951.61           761,444.69          455.57
